language,uni_lemma,tokens,freq,mlu,lexical_category,category,item_definition
English (Australian),monkey,"monkey, monkeying, monkeys",-6.835206801200609,6.611185983827493,nouns,animals,monkey
English (Australian),moo,"moo, mooed, mooing, moos",-7.589231274166074,3.632282712511939,other,sounds,moo
English (Australian),moon,"moon, moons",-7.306333899837629,8.562072688017272,nouns,outside,moon
English (Australian),mop (object),"mop, mopped, mopping, mops",-9.84746837670581,6.6192660550458715,nouns,household,mop
English (Australian),motorcycle,"motorbike, motorbikes",-10.038043075256486,6.133333333333334,nouns,vehicles,motorbike
English (Australian),mouse,"mouse, mouses",-7.331467257023646,6.528413284132841,nouns,animals,mouse
English (Australian),mouth,"mouth, mouthed, mouths",-6.227092676925518,7.632351143171537,nouns,body_parts,mouth
English (Australian),movie,"movie, movies",-7.538510936249506,8.364502950522015,other,places,movies
English (Australian),muffin,"muffin, muffins",-8.69262826095752,6.651296829971182,nouns,food_drink,muffin
English (Australian),nail (body part),"nail, nails",-8.434145343198,7.96329254727475,nouns,body_parts,nail(s)
English (Australian),nap,"nap, napped, napping, naps",-8.00742622872901,8.144412191582003,other,games_routines,nap
English (Australian),napkin,"napkin, napkins, serviette, serviettes",-8.619137128547834,6.099062918340027,nouns,household,serviette/napkin
English (Australian),nasty,"nasties, nastiest, nasty",-9.092354472396666,6.649462365591398,adjectives,descriptive_words,nasty
English (Australian),naughty,"naughtiest, naughty",-7.199643333837241,5.482535575679172,adjectives,descriptive_words,naughty
English (Australian),neck,"neck, necked, necks",-8.074918103583125,7.565993788819876,nouns,body_parts,neck
English (Australian),necklace,"necklace, necklaces",-8.975048422201269,6.630975143403441,nouns,clothing,necklace
English (Australian),new,"new, newer, newest",-6.35373205159787,8.652234249236747,adjectives,descriptive_words,new
English (Australian),nice,nice,-5.0815936916919275,5.928879729361901,adjectives,descriptive_words,nice
English (Australian),no,"did not, didn't, do not, does not, doesn't, don't, no, noing",-2.596100724462651,5.78256195028433,other,games_routines,no/don't
English (Australian),noisy,"noisies, noisiest, noisy",-8.314881922371184,5.910167818361303,adjectives,descriptive_words,noisy
English (Australian),noodles,"noodle, noodles",-9.145230224444614,5.804988662131519,nouns,food_drink,noodles
English (Australian),nose,"nose, nosed, noses",-6.277099962905381,6.279434447300771,nouns,body_parts,nose
English (Australian),nurse,"nurse, nursed, nurses, nursing",-8.48543863758555,7.515222482435597,other,people,nurse
English (Australian),nut,"nut, nuts",-8.488953579692996,7.385428907168038,nouns,food_drink,nuts
English (Australian),old,"old, oldest, olds",-6.536692080521999,8.438260289951675,adjectives,descriptive_words,old
English (Australian),open (action),"open, opened, opens",-5.7861597355721885,6.30498741346759,verbs,action_words,open
English (Australian),orange (description),"orange, oranged, oranges",-6.240879207448209,7.703483327135243,adjectives,descriptive_words,orange
English (Australian),orange (food),"orange, oranged, oranges",-6.240879207448209,7.703483327135243,nouns,food_drink,orange
English (Australian),ouch,"ouch, ouched, ouches",-8.051910953804997,2.1115326251896813,other,sounds,ouch
English (Australian),outside,"outside, outsides",-6.423547874552345,7.715327380952381,other,places,outside
