"language","form","form_type","measure","lexical_class","mean","ci_lower","ci_upper","num_forms","langform","order"
"Finnish","WS","WS","produces","Verbs",-0.0239390419513887,-0.0422025963649215,-0.0059570954173135,2,"Finnish WS","153"
"Catalan","WS","WS","produces","Verbs",-0.0209556910006545,-0.0279206756176936,-0.014095997593627,1,"Catalan","154"
"Dutch","WS","WS","produces","Verbs",-0.0188442070979111,-0.0284410111040478,-0.00983116335133626,2,"Dutch WS","155"
"French (French)","WS","WS","produces","Verbs",-0.00959342969903289,-0.0158819678351961,-0.00318738398480825,1,"French (French)","156"
"Czech","WS","WS","produces","Verbs",-0.00940818137660292,-0.018334504221336,-1.6014533878635e-05,1,"Czech","157"
"Estonian","WS","WS","produces","Verbs",-0.00756414348407079,-0.0133641097206688,-0.0015606239798146,1,"Estonian","158"
"Slovak","WS","WS","produces","Verbs",-0.00520963241252728,-0.0113215866250308,0.000649348888118791,1,"Slovak","159"
"Spanish (Mexican)","WS","WS","produces","Verbs",-0.00513750275566295,-0.0113815355565295,0.00107394433141749,1,"Spanish (Mexican)","160"
"Danish","WS","WS","produces","Verbs",-0.00376745188982181,-0.00657603960591627,-0.00110132496469257,1,"Danish","161"
"Portuguese (European)","WS","WS","produces","Verbs",-0.00373668254408248,-0.00880692563581257,0.00109429194717888,1,"Portuguese (European)","162"
"Japanese","WS","WS","produces","Verbs",-0.00355848240553798,-0.0142464003758945,0.00716915818030268,1,"Japanese","163"
"Irish","WS","WS","produces","Verbs",0.00257614772120757,-0.0121702721870646,0.0174356780538055,1,"Irish","164"
"Latvian","WS","WS","produces","Verbs",0.00321721559652508,-0.00680222935388468,0.0129937572570559,1,"Latvian","165"
"Spanish (European)","WS","WS","produces","Verbs",0.00360080080175479,-0.00437904481110458,0.0119549758700148,1,"Spanish (European)","166"
"Spanish (Argentinian)","WS","WS","produces","Verbs",0.0053619507663831,-0.00375241490298953,0.0151195491836777,1,"Spanish (Argentinian)","167"
"Spanish (Peruvian)","WS","WS","produces","Verbs",0.00611708635848855,-0.0238954594653643,0.0324355218030327,1,"Spanish (Peruvian)","168"
"Norwegian","WS","WS","produces","Verbs",0.00926674351400691,0.00735623314491743,0.0110907304104709,1,"Norwegian","169"
"English (Irish)","WS","WS","produces","Verbs",0.0118515059847249,-0.0130221373244533,0.0345094694969353,1,"English (Irish)","170"
"Croatian","WS","WS","produces","Verbs",0.0135633202536304,0.00297876830095054,0.0246648183869562,1,"Croatian","171"
"Russian","WS","WS","produces","Verbs",0.0184716493952648,0.0121479841834347,0.0251679622482456,1,"Russian","172"
"Kigiriama","WS","WS","produces","Verbs",0.0214885304615025,-0.00395322473007535,0.0478641081895125,1,"Kigiriama","173"
"Mandarin (Beijing)","WS","WS","produces","Verbs",0.0215659297458613,0.0157889848141906,0.0268276837310466,2,"Mandarin (Beijing) WS","174"
"American Sign Language","FormBOne","WS","produces","Verbs",0.0240911690377227,0.008219025351155,0.0394083590431956,3,"American Sign Language FormBOne","175"
"American Sign Language","FormC","WS","produces","Verbs",0.0297047289788294,0.0124763915218712,0.0454943860943179,3,"American Sign Language FormC","176"
"Turkish","WS","WS","produces","Verbs",0.0350262328176163,0.0295913041161314,0.0403023910657261,1,"Turkish","177"
"Swedish","WS","WS","produces","Verbs",0.0372205919652607,0.0303538441052867,0.0442713312662752,1,"Swedish","178"
"American Sign Language","FormBTwo","WS","produces","Verbs",0.038608438369348,0.0212409892770004,0.0554514979134311,3,"American Sign Language FormBTwo","179"
"Mandarin (Taiwanese)","WS","WS","produces","Verbs",0.0476796060259543,0.042655239547497,0.052808774540091,1,"Mandarin (Taiwanese)","180"
"Arabic (Saudi)","WS","WS","produces","Verbs",0.0477353275337956,0.0316202505864179,0.0637771510683102,1,"Arabic (Saudi)","181"
"Mandarin (Beijing)","TC","WS","produces","Verbs",0.0572286551843915,0.0540820696802179,0.0603097970381279,2,"Mandarin (Beijing) TC","182"
"Cantonese","WS","WS","produces","Verbs",0.0603068754663766,0.0561168719589609,0.0642775669460565,1,"Cantonese","183"
"Kiswahili","WS","WS","produces","Verbs",0.072447304607402,0.0561251165630939,0.0908159139058757,1,"Kiswahili","184"
"Finnish","WSShort","WS","produces","Verbs",0.0767989626680248,0.0414652037807241,0.113576438870752,2,"Finnish WSShort","185"
"English (American)","WSShort","WS","produces","Verbs",0.099102388922525,-0.150472431063761,0.361680713171944,2,"English (American) WSShort","186"
