"language","lexical_category","freq_mean","bias","bias_type","predicativeAdj"
"Irish","Nouns",-9.3550668003099,0.00257614772120757,"Verb bias",NA
"Irish","Verbs",-8.97667879168647,0.00257614772120757,"Verb bias",NA
"Irish","Adjectives",-8.91529471401037,0.00257614772120757,"Verb bias",NA
"Italian","Nouns",-9.49123964660385,-0.0358889695367309,"Verb bias",NA
"Italian","Verbs",-8.34684791500885,-0.0358889695367309,"Verb bias",NA
"Italian","Adjectives",-9.08807392497651,-0.0358889695367309,"Verb bias",NA
"Japanese","Nouns",-8.92946538825788,-0.00355848240553798,"Verb bias",NA
"Japanese","Verbs",-8.2473462851388,-0.00355848240553798,"Verb bias",NA
"Japanese","Adjectives",-8.00893132962448,-0.00355848240553798,"Verb bias",NA
"Korean","Nouns",-7.97857563589307,-0.0852295265971345,"Verb bias",NA
"Korean","Verbs",-7.8468196821696,-0.0852295265971345,"Verb bias",NA
"Korean","Adjectives",-7.92724530790561,-0.0852295265971345,"Verb bias",NA
"Mandarin (Beijing)","Nouns",-9.53875042786472,0.0215659297458613,"Verb bias",NA
"Mandarin (Beijing)","Verbs",-7.83854913964428,0.0215659297458613,"Verb bias",NA
"Mandarin (Beijing)","Adjectives",-8.13012292905194,0.0215659297458613,"Verb bias",NA
"Mandarin (Taiwanese)","Nouns",-8.95004602714827,0.0476796060259543,"Verb bias",NA
"Mandarin (Taiwanese)","Verbs",-6.7181372255267,0.0476796060259543,"Verb bias",NA
"Mandarin (Taiwanese)","Adjectives",-9.95876434431354,0.0476796060259543,"Verb bias",NA
"Portuguese (European)","Nouns",-9.22744201970083,-0.00373668254408248,"Verb bias",NA
"Portuguese (European)","Verbs",-7.05297757787886,-0.00373668254408248,"Verb bias",NA
"Portuguese (European)","Adjectives",-8.70577422704157,-0.00373668254408248,"Verb bias",NA
"Russian","Nouns",-8.49691545388111,0.0184716493952648,"Verb bias",NA
"Russian","Verbs",-7.67001636885391,0.0184716493952648,"Verb bias",NA
"Russian","Adjectives",-8.37176019465353,0.0184716493952648,"Verb bias",NA
