"language","Noun.Dim1","Noun.Dim2","Noun.Dim3","Verb.Dim1","Verb.Dim2","Verb.Dim3","Adj.Dim1","Adj.Dim2","Adj.Dim3","Noun.Dim1_z","Noun.Dim2_z","Noun.Dim3_z","Verb.Dim1_z","Verb.Dim2_z","Verb.Dim3_z","Adj.Dim1_z","Adj.Dim2_z","Adj.Dim3_z"
"Italian",-0.399083842047894,-0.165438334335128,0.352239512561695,-0.304538114052545,0.266744144794185,-0.000230760754278773,0.233074211627795,-0.828569156436406,-0.211106001197756,-0.561517296312266,-0.269376008186766,0.627539106331442,-0.456666295664054,0.438235131217265,-0.000445445321841672,0.319387129461983,-1.2641398140544,-0.408238867184361
"English (American)",-0.360753491733949,-0.410075788622095,-0.01304024926901,-0.283208645627497,-0.671669648656844,0.00945289178858085,-0.520905391681137,0.219964067792764,-0.164941363661946,-0.50758588539735,-0.667708481453231,-0.0232321079287788,-0.424681959764248,-1.10348902631359,0.0182472380897711,-0.713809033648009,0.335597015165428,-0.318965235811177
"Hungarian",0.642230016424247,-0.0722605978388074,-0.644370626440603,-0.14272011113621,-0.340807217167845,-0.908981425960443,-0.975020011427981,0.815028028153991,0.154200105049905,0.903627820616819,-0.117658772818496,-1.14799093412878,-0.214014146216489,-0.559913679269626,-1.75463772035519,-1.33609308573045,1.24348024779364,0.298193683969756
"Latvian",0.0573880034708268,-0.220273171468531,-0.376721539718477,-0.637816310507034,0.558278017534658,0.488482865540708,-0.520905391681137,0.219964067792764,-0.164941363661946,0.0807458312126561,-0.358661176560414,-0.671155534628816,-0.956429420138543,0.917197415743798,0.942935066818643,-0.713809033648009,0.335597015165428,-0.318965235811177
"Dutch",-0.26289032772311,-0.469625059056411,0.0222881994462208,-0.396232584868103,-1.09115822738409,-0.29111890578438,-0.975020011427981,0.815028028153991,0.154200105049905,-0.369890861259201,-0.764669955494284,0.0397079721706934,-0.594165585204514,-1.79266866129498,-0.561956711775572,-1.33609308573045,1.24348024779364,0.298193683969756
"Finnish",0.494641175495286,-0.0661917679141676,-0.661625992626678,0.350049057045397,-0.110757694450674,0.0549930262216876,-0.520905391681136,0.219964067792765,-0.164941363661946,0.695967980270925,-0.107777162331822,-1.17873256500682,0.524911657376439,-0.181964304402497,0.10615490637017,-0.713809033648008,0.335597015165429,-0.318965235811175
"Croatian",0.224430885323443,-0.143720700869559,-0.467542153865887,-0.591284297762163,0.646436047390453,0.155388285863491,-0.520905391681137,0.219964067792764,-0.164941363661946,0.315777815731923,-0.234014134932122,-0.832958753762435,-0.886652926131864,1.06203263157026,0.299951286011515,-0.713809033648009,0.335597015165428,-0.318965235811177
"English (British)",-0.360753491733949,-0.410075788622095,-0.01304024926901,-0.283208645627497,-0.671669648656843,0.00945289178858099,-0.520905391681136,0.219964067792763,-0.164941363661947,-0.50758588539735,-0.667708481453231,-0.0232321079287788,-0.424681959764248,-1.10348902631359,0.0182472380897714,-0.713809033648008,0.335597015165427,-0.318965235811177
"Danish",-0.195711459602558,-0.402894332856113,-0.115050105043557,0.25946664739198,-0.657033276774532,0.0683591062651699,-0.520905391681137,0.219964067792764,-0.164941363661946,-0.275369128174744,-0.656015230944004,-0.204969736578678,0.389079945154,-1.07944286643504,0.131955904660978,-0.713809033648009,0.335597015165428,-0.318965235811177
"Korean",1.08412892717187,0.230547243761143,-0.785064203118746,1.21652883476943,-0.128614711740029,0.299762363373068,1.513998644579,0.999060854267395,0.446303204326709,1.52538659775258,0.375389999376048,-1.398646292845,1.82423050156149,-0.211301676816005,0.578641471536616,2.07466831154028,1.5242573208668,0.863065538266768
"German",-0.226285611314732,-0.463627841251055,-0.476028451275572,-0.396232584868103,-1.09115822738409,-0.29111890578438,-0.975020011427981,0.815028028153991,0.154200105049905,-0.318387444622646,-0.754904947891143,-0.848077680806724,-0.594165585204513,-1.79266866129498,-0.561956711775571,-1.33609308573045,1.24348024779364,0.298193683969756
